Linux 5.19.0-43-generic (lsl-PC) 	06/10/2023 	_x86_64_	(16 CPU)

12:39:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:27 AM       1      4.08      0.00      0.00      0.00      0.00     95.92
12:39:27 AM       2      4.90      0.00      1.96      0.00      0.00     93.14
12:39:27 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
12:39:27 AM       4     10.78      0.00      0.98      0.00      0.00     88.24
12:39:27 AM       5      1.00      0.00      1.00      0.00      0.00     98.00
12:39:27 AM       6      4.85      0.00      1.94      0.00      0.00     93.20
12:39:27 AM       7      0.00      0.00      1.00      0.00      0.00     99.00
12:39:27 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:39:27 AM       9      1.00      0.00      1.00      0.00      0.00     98.00
12:39:27 AM      10      7.92      0.00      0.00      0.00      0.00     92.08
12:39:27 AM      11      0.00      0.00      2.06      0.00      0.00     97.94
12:39:27 AM      12      0.00      0.00      2.02      0.00      0.00     97.98
12:39:27 AM      13      2.00      0.00      0.00      0.00      0.00     98.00
12:39:27 AM      14      1.01      0.00      0.00      0.00      0.00     98.99
12:39:27 AM      15      1.02      0.00      0.00      0.00      0.00     98.98

12:39:27 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:28 AM     all      2.33      0.00      0.69      0.00      0.00     96.98
12:39:28 AM       0      0.00      0.00      1.00      0.00      0.00     99.00
12:39:28 AM       1      5.10      0.00      1.02      0.00      0.00     93.88
12:39:28 AM       2      2.02      0.00      1.01      0.00      0.00     96.97
12:39:28 AM       3      0.99      0.00      0.99      0.00      0.00     98.02
12:39:28 AM       4      1.00      0.00      1.00      0.00      0.00     98.00
12:39:28 AM       5      2.94      0.00      0.98      0.00      0.00     96.08
12:39:28 AM       6     11.22      0.00      0.00      0.00      0.00     88.78
12:39:28 AM       7      1.00      0.00      0.00      0.00      0.00     99.00
12:39:28 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
12:39:28 AM       9      5.94      0.00      0.99      0.00      0.00     93.07
12:39:28 AM      10      1.04      0.00      2.08      0.00      0.00     96.88
